Designator,Footprint,Quantity,Value,LCSC Part #
"BFID1, BFID2, BFID3, FFID1, FFID2, FFID3, FFID4, FFID5, FFID6",Fiducial_1mm_Mask2mm,9,Fiducial,
"C1, C25, C27",1206,3,10n,
"C10, C13, C14, C15, C16, C17, C18, C19, C2, C21, C22, C24, C29, C30, C31, C32, C33, C35, C36, C38, C39, C41, C42, C44, C45, C5, C8",1206,27,100n,
"C11, C9",1206,2,4u7,
C12,1206,1,3u3,
"C20, C23, C3, C4, C46, C47, C48, C49, C50, C51, C52, C53, C6, C7",1206,14,10u,
"C26, C28, C34, C37, C40, C43",1206,6,1u,
"D1, D3",LEDM3528X210N,2,LED Red,
"D10, D11, D4, D5, D6, D7, D8, D9",LEDM3528X210N,8,LED Green,
D2,1206,1,D_Schottky,
"FB1, FB2, FB3, FB4, FB5",1206,5,FerriteBead_Small,
J1,GSB1C41110SSHR,1,USB_C_Receptacle_USB2.0_16P,
"P1, P2, P3, P4",PinSocket_2x10_P2.54mm_Vertical,4,Conector 2x10,
"R1, R2",1206,2,5k1,
R10,1206,1,12k,
"R11, R24, R3",1206,3,1k,
"R12, R13, R17, R18, R19, R20, R41, R42, R43, R44, R45, R46, R47, R48",1206,14,10k,
"R14, R16",1206,2,100,
R15,1206,1,2k2,
"R21, R22, R23, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R5, R6, R7, R8, R9",1206,24,220,
R4,1206,1,120,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_TS04-66-75-BK-100-SMT,8,SW_Push,
TP1,TestPoint_Pad_D1.5mm,1,TP_PWR_EN,
U1,SOT-223-3_TabPin2,1,TLV76133DCYR,
U2,SOT-223-3_TabPin2,1,TLV76112DCYR,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,M93C66,
U6,TQFP-144_20x20mm_P0.5mm,1,ICE40HX4K-TQ144,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,W25X40CLSN,
Y1,OSC_ECS-3225MV-120-CN-TR,1,ECS-3225MV-120-CN-TR,
Y2,OSC_ECS-3225MV-120-CN-TR,1,ECS-3225MVQ-1000-CN-TR,
Z1,SOT96P237X111-3N,1,MMBZ5231BLT3G,
