Designator,Mid X,Mid Y,Rotation,Layer
BFID1,127.2,-140.2,180.0,bottom
BFID2,126.51,-76.9,180.0,bottom
BFID3,213.94,-77.42,180.0,bottom
C1,166.508,-77.2304,90.0,top
C10,163.98,-88.02,180.0,top
C11,163.98,-85.63,180.0,top
C12,183.74,-99.17,180.0,top
C13,182.56,-95.65,270.0,top
C14,180.23,-101.22,270.0,top
C15,164.0,-101.14,0.0,top
C16,191.97,-85.73,0.0,top
C17,163.97,-90.47,180.0,top
C18,184.93,-95.65,270.0,top
C19,170.36,-101.23,270.0,top
C2,161.508,-77.2304,270.0,top
C20,173.09,-129.51,180.0,top
C21,173.09,-131.86,180.0,top
C22,194.55,-89.38,90.0,top
C23,172.92,-101.23,270.0,top
C24,175.32,-101.24,270.0,top
C25,158.19,-87.92,0.0,top
C26,158.19,-90.28,0.0,top
C27,145.26,-98.56,180.0,top
C28,145.28,-96.17,180.0,top
C29,189.19,-105.19,0.0,top
C3,159.008,-77.2304,270.0,top
C30,158.79,-116.09,180.0,top
C31,164.71,-130.71,270.0,top
C32,189.18,-111.3,0.0,top
C33,182.96,-130.68,90.0,top
C34,189.17,-124.17,0.0,top
C35,189.18,-108.93,0.0,top
C36,189.17,-121.81,0.0,top
C37,158.84,-103.92,180.0,top
C38,158.84,-108.64,180.0,top
C39,158.84,-106.28,180.0,top
C4,146.533,-80.2554,90.0,top
C40,158.85,-123.43,180.0,top
C41,158.85,-121.06,180.0,top
C42,158.79,-113.7,180.0,top
C43,187.68,-130.68,90.0,top
C44,185.32,-130.68,90.0,top
C45,167.18,-130.7,270.0,top
C46,137.25,-135.45,270.0,top
C47,146.797,-135.4304,270.0,top
C48,158.862,-135.4304,270.0,top
C49,170.8,-135.4304,270.0,top
C5,145.008,-76.2554,0.0,top
C50,182.865,-135.4304,270.0,top
C51,194.803,-135.4304,270.0,top
C52,201.35,-130.65,90.0,top
C53,207.83,-130.65,90.0,top
C6,145.008,-73.7554,0.0,top
C7,131.5455,-79.7404,90.0,top
C8,184.74,-85.82,0.0,top
C9,184.74,-83.44,0.0,top
D1,165.008,-72.7304,180.0,top
D10,190.008,-72.9464,270.0,top
D11,186.008,-72.9464,270.0,top
D2,158.8475,-125.78,180.0,top
D3,146.51,-87.13,180.0,top
D4,214.008,-72.9464,270.0,top
D5,210.008,-72.9464,270.0,top
D6,206.008,-72.9464,270.0,top
D7,202.008,-72.9464,270.0,top
D8,198.008,-72.9464,270.0,top
D9,194.008,-72.9464,270.0,top
FB1,164.008,-77.2304,90.0,top
FB2,144.033,-80.2554,90.0,top
FB3,128.0455,-79.7279,90.0,top
FB4,179.86,-83.43,180.0,top
FB5,170.82,-83.48,0.0,top
FFID1,130.6,-88.0,0.0,top
FFID2,216.61,-76.58,0.0,top
FFID3,139.4,-131.8,0.0,top
FFID4,190.8,-128.0,0.0,top
FFID5,196.2,-83.4,0.0,top
FFID6,154.8,-103.6,0.0,top
J1,174.983,-74.5304,180.0,top
JP1,183.1,-101.64,180.0,top
JP2,176.78,-129.86,90.0,top
P1,125.59,-97.36,0.0,top
P2,214.26,-123.94,180.0,top
P3,214.27,-97.29,180.0,top
P4,125.57,-123.97,0.0,top
R1,179.9705,-79.7304,0.0,top
R10,183.54,-78.45,270.0,top
R11,158.22,-85.59,0.0,top
R12,192.11,-89.41,270.0,top
R13,189.64,-89.43,270.0,top
R14,169.54,-130.69,90.0,top
R15,189.7725,-99.12,180.0,top
R16,177.87,-101.22,90.0,top
R17,194.4625,-99.12,180.0,top
R18,151.68,-98.37,0.0,top
R19,152.75,-87.03,180.0,top
R2,170.508,-79.7304,180.0,top
R20,151.68,-96.01,180.0,top
R21,158.15,-95.86,180.0,top
R22,143.36,-91.21,90.0,top
R23,153.9,-90.52,270.0,top
R24,141.01,-91.21,270.0,top
R25,214.008,-78.4464,90.0,top
R26,210.008,-78.4464,90.0,top
R27,206.008,-78.4464,90.0,top
R28,202.008,-78.4464,90.0,top
R29,198.008,-78.4464,90.0,top
R3,160.008,-73.2304,0.0,top
R30,194.008,-78.4464,90.0,top
R31,190.008,-78.4464,90.0,top
R32,186.008,-78.4464,90.0,top
R33,132.17,-135.45,270.0,top
R34,141.717,-135.4304,270.0,top
R35,153.782,-135.4304,270.0,top
R36,165.72,-135.4304,270.0,top
R37,177.658,-135.4304,270.0,top
R38,189.723,-135.4304,270.0,top
R39,198.95,-135.45,270.0,top
R4,130.0455,-75.7404,0.0,top
R40,205.173,-135.45,270.0,top
R41,134.71,-135.45,90.0,top
R42,144.257,-135.4304,90.0,top
R43,156.322,-135.4304,90.0,top
R44,168.26,-135.4304,90.0,top
R45,180.198,-135.4304,90.0,top
R46,192.263,-135.4304,90.0,top
